Date,Open,High,Low,Close,Volume,AdjClose
12/5/2005,32835,33332,32476,32922,0,32922
11/28/2005,31920,32936,31296,32832,0,32832
11/21/2005,31102,32123,30473,31920,0,31920
11/14/2005,30510,31248,29948,31102,0,31102
11/7/2005,30888,31363,30218,30511,0,30511
10/31/2005,29333,31487,29333,30888,0,30888
10/24/2005,29176,30095,29005,29318,0,29318
10/17/2005,29777,30451,28161,29176,0,29176
10/10/2005,29982,30775,29090,29770,0,29770
10/3/2005,31582,32052,28893,29973,0,29973
9/26/2005,31301,31584,30593,31584,0,31584
9/19/2005,29816,31371,29715,31294,0,31294
9/12/2005,29308,29863,28814,29816,0,29816
9/5/2005,28322,29387,28322,29308,0,29308
8/29/2005,27113,28347,26981,28319,0,28319
8/22/2005,26647,27422,26479,27095,0,27095
8/15/2005,26960,27696,26129,26644,0,26644
8/8/2005,26521,27606,25734,26951,0,26951
8/1/2005,26042,27317,25911,26518,0,26518
7/25/2005,25388,26306,24328,26042,0,26042
7/18/2005,25222,25964,24916,25391,0,25391
7/11/2005,24425,26142,24425,25222,0,25222
7/4/2005,25314,25314,24192,24423,0,24423
6/27/2005,24917,25454,24640,25311,0,25311
6/20/2005,26093,26142,24725,24917,0,24917
6/13/2005,24955,26267,24330,26093,0,26093
6/6/2005,26363,26363,24224,24951,0,24951
5/30/2005,25248,26755,25154,26366,0,26366
5/23/2005,24525,25270,24012,25255,0,25255
5/16/2005,23883,24967,23765,24522,0,24522
5/9/2005,25593,25623,23680,23887,0,23887
5/2/2005,24847,25808,24468,25589,0,25589
4/25/2005,24769,25563,24154,24844,0,24844
4/18/2005,24656,25692,24420,24767,0,24767
4/11/2005,25884,26579,24575,24656,0,24656
4/4/2005,26770,26770,25615,25885,0,25885
3/28/2005,26705,27178,25761,26774,0,26774
3/21/2005,27587,27844,26131,26702,0,26702
3/14/2005,28075,28300,27260,27593,0,27593
3/7/2005,29464,29584,28008,28075,0,28075
2/28/2005,28423,29228,27498,29197,0,29197
2/21/2005,26730,28778,26620,28425,0,28425
2/14/2005,26660,27184,26212,26756,0,26756
2/9/2005,25733,26786,25733,26671,0,26671
1/31/2005,23970,25736,23970,25732,0,25732
1/24/2005,23819,24555,23595,23968,0,23968
1/17/2005,24924,25022,23534,23818,0,23818
1/10/2005,24747,24966,23983,24924,0,24924
1/3/2005,26193,26492,24250,24747,0,24747
12/27/2004,25862,26270,25862,26196,0,26196
12/20/2004,25661,26075,25456,25878,0,25878
12/13/2004,24933,25919,24867,25659,0,25659
12/6/2004,25474,25709,24452,24933,0,24933
11/29/2004,25000,25604,24653,25468,0,25468
11/22/2004,24034,25072,23839,24998,0,24998
11/16/2004,24035,24361,23698,24034,0,24034
11/8/2004,23542,24035,23022,24035,0,24035
11/1/2004,23050,24000,22941,23542,0,23542
10/25/2004,22735,23228,22390,23052,0,23052
10/18/2004,23368,23621,22565,22735,0,22735
10/11/2004,23928,24091,22865,23368,0,23368
10/4/2004,23784,24362,23784,23927,0,23927
9/27/2004,22981,23777,22593,23777,0,23777
9/20/2004,23079,23485,22697,22972,0,22972
9/13/2004,21970,23190,21739,23074,0,23074
9/6/2004,22416,22977,21846,21968,0,21968
8/30/2004,22600,23071,22267,22415,0,22415
8/23/2004,23205,23241,22479,22597,0,22597
8/16/2004,21404,23381,21361,23196,0,23196
8/9/2004,21653,21745,21243,21401,0,21401
8/2/2004,22342,22600,21178,21653,0,21653
7/26/2004,21635,22534,21056,22337,0,22337
7/19/2004,22445,22518,21490,21591,0,21591
7/12/2004,20885,22676,20885,22447,0,22447
7/5/2004,21565,21775,20821,20887,0,20887
6/28/2004,20750,21747,20351,21568,0,21568
6/21/2004,20336,21068,20070,20750,0,20750
6/14/2004,19833,20697,19371,20333,0,20333
6/7/2004,19826,20529,19789,19834,0,19834
5/31/2004,19672,19923,19177,19819,0,19819
5/24/2004,18288,19991,18288,19667,0,19667
5/17/2004,18609,19120,17973,18285,0,18285
5/10/2004,18616,18952,17601,18611,0,18611
5/3/2004,19622,20342,18573,18620,0,18620
4/26/2004,21588,21778,19508,19607,0,19607
4/19/2004,21773,21864,20732,21590,0,21590
4/12/2004,22725,22995,21483,21769,0,21769
4/5/2004,22949,23260,22307,22725,0,22725
3/29/2004,21544,23034,21435,22949,0,22949
3/22/2004,22248,22248,20834,21541,0,21541
3/15/2004,21776,22470,21162,22261,0,22261
3/8/2004,22874,23373,20756,21776,0,21776
3/1/2004,21761,22937,21761,22873,0,22873
2/25/2004,21341,21755,21180,21755,0,21755
2/16/2004,22530,22668,20092,21337,0,21337
2/9/2004,21970,23374,21694,22530,0,22530
2/2/2004,21842,22718,20598,21969,0,21969
1/26/2004,23471,24473,21649,21851,0,21851
1/19/2004,23162,23724,22682,23471,0,23471
1/12/2004,23896,24518,22687,23155,0,23155
1/5/2004,22445,24088,22445,23917,0,23917
12/29/2003,21815,22450,21815,22445,0,22445
12/22/2003,21386,21914,21344,21807,0,21807
12/15/2003,20974,21671,20544,21386,0,21386
12/8/2003,20882,21514,20673,20974,0,20974
12/1/2003,20184,20922,20184,20880,0,20880
11/24/2003,19258,20188,19258,20184,0,20184
11/17/2003,18985,19376,18610,19248,0,19248
11/10/2003,18672,19115,18261,18986,0,18986
11/3/2003,17983,18907,17983,18672,0,18672
10/27/2003,17820,18454,17664,17982,0,17982
10/20/2003,17791,18660,17340,17814,0,17814
10/13/2003,17676,18313,17676,17791,0,17791
10/6/2003,17090,18060,17026,17676,0,17676
9/29/2003,15810,17290,15768,17089,0,17089
9/22/2003,16850,16850,15773,15811,0,15811
9/15/2003,16423,17104,16225,16851,0,16851
9/8/2003,15904,16508,15492,16421,0,16421
9/1/2003,15174,15951,15075,15900,0,15900
8/25/2003,14613,15252,14425,15174,0,15174
8/18/2003,13900,14765,13900,14613,0,14613
8/11/2003,13500,13952,13442,13890,0,13890
8/4/2003,13128,13513,12757,13500,0,13500
7/28/2003,13752,13783,13130,13130,0,13130
7/21/2003,13794,13947,13661,13750,0,13750
7/14/2003,13322,13809,13322,13794,0,13794
7/7/2003,13274,13622,13273,13321,0,13321
6/30/2003,13027,13376,12893,13281,0,13281
6/23/2003,13132,13286,12895,13024,0,13024
6/16/2003,13737,13973,13105,13131,0,13131
6/9/2003,13926,14072,13677,13734,0,13734
6/2/2003,13441,14071,13106,13923,0,13923
5/26/2003,13149,13541,12852,13422,0,13422
5/19/2003,13179,13246,12576,13143,0,13143
5/12/2003,13206,13565,12877,13225,0,13225
5/5/2003,12829,13247,12608,13214,0,13214
4/28/2003,12128,12866,12009,12810,0,12810
4/22/2003,12393,12502,12059,12126,0,12126
4/14/2003,11726,12432,11719,12395,0,12395
4/7/2003,12154,12436,11578,11719,0,11719
3/31/2003,11387,12135,11215,12066,0,12066
3/24/2003,11362,11421,11024,11396,0,11396
